t,hip_theta_deg,hip_omega_dps,hip_alpha_dps2,hip_torque_nm,knee_theta_deg,knee_omega_dps,knee_alpha_dps2,knee_torque_nm
0.0270,5.3396,12.5656,-0.0596,1.5733,-17.6981,-7.3299,0.0348,-3.1529
0.0468,5.5886,12.5640,-0.1033,1.6385,-17.8433,-7.3290,0.0602,-3.1782
0.0669,5.8412,12.5614,-0.1476,1.7046,-17.9907,-7.3275,0.0861,-3.2039
0.0872,6.0961,12.5580,-0.1923,1.7713,-18.1394,-7.3255,0.1122,-3.2298
0.1072,6.3468,12.5537,-0.2363,1.8369,-18.2856,-7.3230,0.1378,-3.2554
0.1272,6.5982,12.5485,-0.2804,1.9026,-18.4323,-7.3200,0.1636,-3.2809
0.1471,6.8478,12.5425,-0.3242,1.9679,-18.5779,-7.3165,0.1891,-3.3063
0.1671,7.0979,12.5356,-0.3681,2.0333,-18.7238,-7.3124,0.2147,-3.3317
0.1871,7.3489,12.5278,-0.4121,2.0988,-18.8702,-7.3079,0.2404,-3.3572
0.2071,7.5997,12.5191,-0.4561,2.1644,-19.0165,-7.3028,0.2661,-3.3827
0.2271,7.8498,12.5095,-0.5000,2.2297,-19.1624,-7.2972,0.2917,-3.4081
0.2468,8.0960,12.4993,-0.5432,8.6849,-19.3060,-7.2912,0.3169,-3.3776
0.2669,8.3473,12.4879,-0.5873,8.0099,-19.4526,-7.2846,0.3426,-3.1147
0.2868,8.5954,12.4758,-0.6309,7.6338,-19.5973,-7.2775,0.3680,-2.9682
0.3068,8.8449,12.4627,-0.6746,7.6935,-19.7429,-7.2699,0.3935,-2.9914
0.3268,9.0938,12.4488,-0.7183,7.7800,-19.8881,-7.2618,0.4190,-3.0250
0.3469,9.3439,12.4339,-0.7622,7.8451,-20.0339,-7.2531,0.4446,-3.0503
0.3668,9.5912,12.4183,-0.8056,7.9017,-20.1782,-7.2440,0.4699,-3.0723
0.3868,9.8395,12.4018,-0.8491,7.9557,-20.3230,-7.2344,0.4953,-3.0933
0.4068,10.0872,12.3844,-0.8926,8.2880,-20.4675,-7.2242,0.5207,-3.2228
0.4268,10.3344,12.3661,-0.9360,8.1550,-20.6117,-7.2136,0.5460,-3.1709
0.4468,10.5821,12.3469,-0.9794,8.0389,-20.7562,-7.2024,0.5713,-3.1256
0.4669,10.8300,12.3268,-1.0229,8.4211,-20.9008,-7.1906,0.5967,-3.2745
0.4873,11.0806,12.3055,-1.0669,8.3008,-21.0470,-7.1782,0.6224,-3.2276
0.5069,11.3219,12.2842,-1.1092,8.2905,-21.1878,-7.1658,0.6471,-3.2235
0.5269,11.5674,12.2616,-1.1523,8.2076,-21.3310,-7.1526,0.6722,-3.1912
0.5467,11.8104,12.2383,-1.1949,8.1995,-21.4727,-7.1390,0.6971,-3.1880
0.5670,12.0579,12.2137,-1.2384,8.2241,-21.6171,-7.1246,0.7224,-3.1975
0.5869,12.3017,12.1885,-1.2811,8.3903,-21.7593,-7.1099,0.7473,-3.2622
0.6068,12.5428,12.1627,-1.3235,8.6046,-21.9000,-7.0949,0.7720,-3.3456
0.6269,12.7877,12.1356,-1.3664,8.4903,-22.0428,-7.0791,0.7971,-3.3011
0.6468,13.0290,12.1080,-1.4088,8.8714,-22.1836,-7.0630,0.8218,-3.4496
0.6668,13.2705,12.0794,-1.4511,8.6332,-22.3245,-7.0463,0.8465,-3.3567
0.6868,13.5117,12.0500,-1.4935,8.5584,-22.4651,-7.0292,0.8712,-3.3276
0.7069,13.7541,12.0195,-1.5360,8.5521,-22.6065,-7.0114,0.8960,-3.3251
0.7269,13.9938,11.9884,-1.5781,9.0110,-22.7464,-6.9932,0.9205,-3.5038
0.7468,14.2323,11.9565,-1.6199,8.7885,-22.8855,-6.9746,0.9449,-3.4171
0.7671,14.4742,11.9233,-1.6623,8.7199,-23.0266,-6.9552,0.9697,-3.3903
0.7868,14.7089,11.8901,-1.7035,8.8438,-23.1636,-6.9359,0.9937,-3.4385
0.8068,14.9464,11.8556,-1.7452,8.7879,-23.3021,-6.9158,1.0180,-3.4167
0.8267,15.1828,11.8203,-1.7867,8.7868,-23.4400,-6.8952,1.0422,-3.4162
0.8468,15.4190,11.7842,-1.8281,8.4369,-23.5777,-6.8741,1.0664,-3.2798
0.8673,15.6612,11.7461,-1.8706,8.3262,-23.7190,-6.8519,1.0912,-3.2366
0.8870,15.8912,11.7090,-1.9110,9.1420,-23.8532,-6.8303,1.1147,-3.5544
0.9071,16.1268,11.6701,-1.9523,9.2790,-23.9906,-6.8076,1.1388,-3.6077
0.9268,16.3558,11.6313,-1.9925,9.2435,-24.1242,-6.7849,1.1623,-3.5940
0.9470,16.5907,11.5906,-2.0337,9.1042,-24.2613,-6.7612,1.1863,-3.5397
0.9672,16.8243,11.5491,-2.0747,9.3362,-24.3975,-6.7370,1.2102,-3.6300
0.9872,17.0545,11.5073,-2.1151,9.8509,-24.5318,-6.7126,1.2338,-3.8305
1.0068,17.2797,11.4654,-2.1546,9.5189,-24.6631,-6.6882,1.2568,-3.7011
1.0268,17.5089,11.4219,-2.1948,9.4044,-24.7969,-6.6628,1.2803,-3.6565
1.0469,17.7376,11.3774,-2.2349,9.1498,-24.9303,-6.6368,1.3037,-3.5573
1.0668,17.9642,11.3324,-2.2747,9.0219,-25.0625,-6.6106,1.3269,-3.5075
1.0868,18.1900,11.2866,-2.3143,9.2531,-25.1942,-6.5839,1.3500,-3.5975
1.1068,18.4151,11.2400,-2.3538,9.7283,-25.3255,-6.5567,1.3731,-3.7826
1.1268,18.6403,11.1923,-2.3933,9.4709,-25.4568,-6.5289,1.3961,-3.6823
1.1468,18.8637,11.1440,-2.4325,9.3797,-25.5872,-6.5007,1.4190,-3.6467
1.1670,19.0879,11.0946,-2.4719,8.9599,-25.7180,-6.4719,1.4419,-3.4830
1.1868,19.3066,11.0454,-2.5102,9.6985,-25.8455,-6.4432,1.4643,-3.7708
1.2070,19.5295,10.9942,-2.5493,9.1118,-25.9756,-6.4133,1.4871,-3.5421
1.2271,19.7498,10.9426,-2.5880,9.7906,-26.1040,-6.3832,1.5097,-3.8066
1.2471,19.9688,10.8903,-2.6264,9.7067,-26.2318,-6.3527,1.5321,-3.7739
1.2670,20.1846,10.8378,-2.6643,9.6939,-26.3577,-6.3220,1.5542,-3.7689
1.2868,20.3983,10.7848,-2.7018,10.0521,-26.4823,-6.2911,1.5760,-3.9085
1.3068,20.6142,10.7301,-2.7397,9.7401,-26.6083,-6.2593,1.5981,-3.7869
1.3268,20.8275,10.6752,-2.7771,9.2090,-26.7327,-6.2272,1.6200,-3.5799
1.3472,21.0453,10.6180,-2.8153,9.4144,-26.8598,-6.1938,1.6423,-3.6599
1.3668,21.2528,10.5625,-2.8517,9.8010,-26.9808,-6.1614,1.6635,-3.8106
1.3868,21.4635,10.5050,-2.8887,9.7781,-27.1037,-6.1279,1.6851,-3.8016
1.4068,21.6731,10.4469,-2.9255,9.9685,-27.2260,-6.0940,1.7065,-3.8757
1.4268,21.8808,10.3882,-2.9619,10.0664,-27.3472,-6.0598,1.7278,-3.9138
1.4468,22.0883,10.3285,-2.9983,9.1070,-27.4682,-6.0250,1.7490,-3.5400
1.4668,22.2947,10.2680,-3.0345,9.5739,-27.5885,-5.9897,1.7701,-3.7218
1.4869,22.4996,10.2069,-3.0705,9.7994,-27.7081,-5.9540,1.7911,-3.8097
1.5068,22.7028,10.1453,-3.1061,9.8869,-27.8266,-5.9181,1.8119,-3.8438
1.5268,22.9050,10.0828,-3.1416,9.9272,-27.9446,-5.8817,1.8326,-3.8595
1.5468,23.1057,10.0197,-3.1768,9.9510,-28.0616,-5.8448,1.8531,-3.8687
1.5668,23.3058,9.9557,-3.2119,9.9687,-28.1784,-5.8075,1.8736,-3.8756
1.5868,23.5038,9.8913,-3.2467,9.9837,-28.2939,-5.7699,1.8939,-3.8814
1.6070,23.7037,9.8251,-3.2817,9.9982,-28.4105,-5.7313,1.9143,-3.8870
1.6268,23.8974,9.7599,-3.3157,10.3705,-28.5235,-5.6933,1.9342,-4.0322
1.6467,24.0909,9.6936,-3.3497,10.0396,-28.6363,-5.6546,1.9540,-3.9032
1.6667,24.2840,9.6263,-3.3836,9.9077,-28.7490,-5.6153,1.9737,-3.8517
1.6868,24.4772,9.5578,-3.4175,9.8587,-28.8617,-5.5754,1.9935,-3.8326
1.7070,24.6696,9.4884,-3.4512,9.8440,-28.9739,-5.5349,2.0132,-3.8269
1.7268,24.8563,9.4199,-3.4840,10.5692,-29.0828,-5.4950,2.0323,-4.1094
1.7468,25.0441,9.3499,-3.5169,10.1666,-29.1924,-5.4541,2.0515,-3.9526
1.7668,25.2299,9.2794,-3.5495,9.9859,-29.3008,-5.4130,2.0706,-3.8821
1.7870,25.4166,9.2074,-3.5823,9.9146,-29.4097,-5.3710,2.0897,-3.8543
1.8070,25.6001,9.1353,-3.6145,10.3953,-29.5168,-5.3290,2.1085,-4.0416
1.8271,25.7831,9.0624,-3.6466,10.3582,-29.6235,-5.2864,2.1272,-4.0271
1.8469,25.9621,8.9897,-3.6780,10.6015,-29.7279,-5.2440,2.1455,-4.1220
1.8668,26.1406,8.9161,-3.7093,10.4857,-29.8320,-5.2010,2.1638,-4.0769
1.8868,26.3178,8.8417,-3.7404,10.2106,-29.9354,-5.1577,2.1819,-3.9696
1.9068,26.4940,8.7666,-3.7713,10.1484,-30.0382,-5.1138,2.1999,-3.9453
1.9267,26.6677,8.6912,-3.8018,10.3882,-30.1395,-5.0699,2.2177,-4.0387
1.9468,26.8417,8.6145,-3.8323,10.3836,-30.2410,-5.0251,2.2355,-4.0369
1.9668,27.0128,8.5377,-3.8624,10.1168,-30.3408,-4.9803,2.2530,-3.9329
1.9869,27.1840,8.4596,-3.8924,9.9853,-30.4406,-4.9348,2.2706,-3.8817
2.0071,27.3541,8.3807,-3.9222,9.9301,-30.5399,-4.8887,2.2880,-3.8601
2.0269,27.5192,8.3027,-3.9512,10.6334,-30.6362,-4.8433,2.3049,-4.1342
2.0469,27.6842,8.2236,-3.9802,10.5380,-30.7324,-4.7971,2.3218,-4.0971
2.0668,27.8470,8.1441,-4.0087,10.2274,-30.8274,-4.7507,2.3384,-3.9760
2.0868,28.0091,8.0636,-4.0372,9.5857,-30.9220,-4.7038,2.3550,-3.7259
2.1070,28.1712,7.9818,-4.0656,9.9269,-31.0165,-4.6560,2.3716,-3.8588
2.1269,28.3295,7.9004,-4.0934,10.4018,-31.1089,-4.6086,2.3878,-4.0439
